data,labels
"[ 0.          0.          0.         ... -0.00126498 -0.00123495
 -0.00122914]",Hindi
"[ 0.          0.          0.         ... -0.17724118 -0.19857359
 -0.1056001 ]",Hindi
"[ 0.          0.          0.         ... -0.2152281  -0.23087673
 -0.2479142 ]",Hindi
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.9862350e-04
 -3.7582195e-05 -8.5516178e-05]",Hindi
[0. 0. 0. ... 0. 0. 0.],Hindi
"[ 0.          0.          0.         ... -0.00198353 -0.0006026
  0.00315306]",Hindi
[0.         0.         0.         ... 0.0225415  0.02636797 0.02676407],Hindi
"[ 0.          0.          0.         ... -0.5054755  -0.53103876
 -0.5630786 ]",Hindi
[0.         0.         0.         ... 0.00662728 0.00763569 0.008424  ],Hindi
"[ 0.          0.          0.         ...  0.00300732  0.00576093
 -0.00409644]",Hindi
[0.         0.         0.         ... 0.19050921 0.17528293 0.14699858],Hindi
"[ 0.          0.          0.         ... -0.09573124 -0.09281776
 -0.08321653]",Hindi
"[ 0.          0.          0.         ... -0.03354738 -0.04065915
 -0.0466616 ]",Hindi
"[ 0.          0.          0.         ... -0.19019265 -0.19157067
 -0.1977795 ]",Hindi
[0.         0.         0.         ... 0.00100401 0.00104647 0.00112538],Hindi
"[ 0.          0.          0.         ... -0.00041067 -0.00036639
 -0.00024521]",Hindi
[0.         0.         0.         ... 0.00013264 0.00010639 0.00012518],Hindi
"[ 0.          0.          0.         ... -0.06865796 -0.0852349
 -0.12083965]",Hindi
"[ 0.          0.          0.         ... -0.14423363 -0.13896427
 -0.13336127]",Hindi
[0.         0.         0.         ... 0.00165251 0.00143107 0.00128109],Hindi
"[ 0.          0.          0.         ...  0.08836141  0.04443226
 -0.06932505]",Hindi
"[ 0.          0.          0.         ... -0.00881758 -0.00747687
 -0.0067122 ]",Hindi
[0.         0.         0.         ... 0.00041553 0.0003814  0.0003858 ],Hindi
[0.         0.         0.         ... 0.04491584 0.04199738 0.03910867],Hindi
[0.         0.         0.         ... 0.00094652 0.00117472 0.00123395],Hindi
[0.         0.         0.         ... 0.14341721 0.11762541 0.09007355],Hindi
[0.         0.         0.         ... 0.06353294 0.06460993 0.06535034],Hindi
"[ 0.          0.          0.         ... -0.00028969 -0.00031815
 -0.0003118 ]",Hindi
[0.         0.         0.         ... 0.00129776 0.00133284 0.00138992],Hindi
[0.         0.         0.         ... 0.04232236 0.03636492 0.05092972],Hindi
"[ 0.          0.          0.         ... -0.00324148 -0.00348237
 -0.00327337]",Hindi
"[ 0.          0.          0.         ... -0.00237932 -0.00238623
 -0.0023831 ]",Hindi
[0.         0.         0.         ... 0.26050973 0.26433352 0.2672285 ],Hindi
[0.         0.         0.         ... 0.3804934  0.2795393  0.22907801],Hindi
[0.         0.         0.         ... 0.00143504 0.00145107 0.00135294],Hindi
"[ 0.          0.          0.         ... -0.02453731 -0.005044
  0.01412779]",Hindi
[0.         0.         0.         ... 0.21294509 0.20504645 0.1964719 ],Hindi
"[ 0.          0.          0.         ... -0.05474386 -0.00854757
  0.01258259]",Hindi
"[ 0.          0.          0.         ... -0.00083739 -0.00073329
  0.00015078]",Hindi
[0.         0.         0.         ... 0.01299758 0.12154151 0.21295309],Hindi
[0.         0.         0.         ... 0.10618534 0.10997639 0.11823688],Hindi
[0.         0.         0.         ... 0.00031753 0.0002658  0.00013304],Hindi
[0.         0.         0.         ... 0.11636508 0.12792152 0.1388111 ],Hindi
[0.         0.         0.         ... 0.05494609 0.06633452 0.07208674],Hindi
[nan nan nan ... nan nan nan],Hindi
[0.         0.         0.         ... 0.00050307 0.00045232 0.00040202],Hindi
[0.         0.         0.         ... 0.03552869 0.03681886 0.03733243],Hindi
"[ 0.          0.          0.         ... -0.0098961  -0.0090961
 -0.00746442]",Hindi
"[ 0.          0.          0.         ...  0.01959155  0.0012117
 -0.00538767]",Hindi
"[ 0.          0.          0.         ... -0.00726482 -0.00803094
  0.02149472]",Hindi
"[ 0.          0.          0.         ... -0.01591184 -0.02580492
 -0.02982745]",Hindi
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.6770743e-05
 -1.2654174e-04  1.3952327e-04]",Hindi
"[ 0.          0.          0.         ... -0.20015155 -0.20903361
 -0.21366185]",Hindi
"[ 0.          0.          0.         ... -0.02933206 -0.03096616
 -0.0321099 ]",Hindi
"[ 0.          0.          0.         ... -0.21325792 -0.2132792
 -0.2082293 ]",Hindi
[0.         0.         0.         ... 0.00966188 0.00710179 0.00399565],Hindi
[0.         0.         0.         ... 0.00862544 0.0073171  0.00635174],Hindi
[0.         0.         0.         ... 0.12279825 0.11209158 0.12152775],Hindi
"[ 0.          0.          0.         ...  0.08493643  0.00909684
 -0.0667626 ]",Hindi
[0.         0.         0.         ... 0.00163527 0.00014774 0.0094122 ],Hindi
[0.         0.         0.         ... 0.00130309 0.00158513 0.00189136],Hindi
[0.         0.         0.         ... 0.02704685 0.02842173 0.03100467],Hindi
"[ 0.          0.          0.         ... -0.00879742 -0.01026644
 -0.0108728 ]",Hindi
[0.         0.         0.         ... 0.00185754 0.00175914 0.00191173],Hindi
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.2395398e-04
 -8.7699891e-07 -3.1533200e-04]",Hindi
"[ 0.          0.          0.         ... -0.00577766 -0.00495309
 -0.00595856]",Hindi
"[ 0.          0.          0.         ... -0.02954474 -0.02723189
 -0.02766678]",Hindi
"[ 0.          0.          0.         ... -0.21445663 -0.20743164
 -0.19808863]",Hindi
"[ 0.          0.          0.         ... -0.00054094 -0.00047992
 -0.00087242]",Hindi
[0.         0.         0.         ... 0.01107298 0.0095147  0.00740722],Hindi
"[ 0.          0.          0.         ... -0.04105789 -0.04065589
 -0.04276474]",Hindi
"[ 0.          0.          0.         ...  0.00222099 -0.0037533
 -0.00305082]",Hindi
"[ 0.          0.          0.         ... -0.09542158 -0.09455816
 -0.09121852]",Hindi
[0.         0.         0.         ... 0.03229702 0.03269712 0.03309735],Hindi
"[ 0.          0.          0.         ... -0.00254372 -0.00904002
 -0.01014176]",Hindi
[0.         0.         0.         ... 0.08096997 0.08140737 0.08171992],Hindi
[0.         0.         0.         ... 0.05306466 0.03494859 0.00809199],Hindi
[0.         0.         0.         ... 0.11939117 0.12430032 0.11377162],Hindi
[0.         0.         0.         ... 0.00655819 0.01028145 0.00187845],Hindi
"[ 0.          0.          0.         ... -0.04123146 -0.01904916
  0.00872382]",Hindi
[0.         0.         0.         ... 0.00026233 0.00023409 0.00027887],Hindi
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.4577083e-04
 -1.0638655e-04 -4.4192817e-05]",Hindi
[0.         0.         0.         ... 0.02762873 0.03109232 0.03281195],Hindi
"[ 0.          0.          0.         ... -0.07730307 -0.09829931
 -0.12015618]",Hindi
"[ 0.          0.          0.         ... -0.05345878 -0.0550855
 -0.05652239]",Hindi
"[ 0.          0.          0.         ... -0.00867548 -0.01567824
 -0.05476044]",Hindi
[0.         0.         0.         ... 0.08159991 0.0768742  0.07188807],Hindi
"[ 0.          0.          0.         ... -0.1162175  -0.5967961
 -0.47130984]",Hindi
"[ 0.          0.          0.         ...  0.02473637 -0.00123779
 -0.03234522]",Hindi
[0.         0.         0.         ... 0.01311339 0.01281882 0.01257301],Hindi
[0.         0.         0.         ... 0.02026052 0.01528552 0.02164464],Hindi
"[ 0.          0.          0.         ... -0.04699195 -0.04658655
 -0.04562382]",Hindi
[0.         0.         0.         ... 0.00189204 0.00018798 0.00082763],Hindi
"[ 0.          0.          0.         ...  0.00396178  0.00073282
 -0.00106508]",Hindi
"[ 0.          0.          0.         ... -0.13028234 -0.11916168
 -0.11464648]",Hindi
"[ 0.          0.          0.         ... -0.00110533 -0.00031219
 -0.00226607]",Hindi
"[ 0.          0.          0.         ... -0.00017612 -0.00289902
 -0.0045427 ]",Hindi
"[ 0.          0.          0.         ... -0.02919951 -0.0299445
 -0.01227408]",Hindi
"[ 0.          0.          0.         ... -0.08449543 -0.08455231
 -0.08441339]",Hindi
[0.         0.         0.         ... 0.05532901 0.09506274 0.16922465],Hindi
"[ 0.          0.          0.         ... -0.00866349 -0.00888609
 -0.00996341]",Hindi
[0.         0.         0.         ... 0.00188091 0.00093835 0.00013737],Hindi
"[ 0.          0.          0.         ... -0.10709333 -0.10158177
 -0.08891588]",Hindi
[0.         0.         0.         ... 0.00688379 0.00498589 0.00294261],Hindi
"[ 0.          0.          0.         ... -0.09024099 -0.08041818
 -0.08174797]",Hindi
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.7211518e-05
 -6.1126228e-04 -1.0738831e-03]",Hindi
[0.         0.         0.         ... 0.00231184 0.03957486 0.06787084],Hindi
[0.         0.         0.         ... 0.08510301 0.09100589 0.09916751],Hindi
[0.         0.         0.         ... 0.05846103 0.06017355 0.05969598],Hindi
[0.         0.         0.         ... 0.02778594 0.02720267 0.02688003],Hindi
"[ 0.          0.          0.         ... -0.00326695  0.00312079
  0.00675157]",Hindi
"[ 0.          0.          0.         ... -0.00081135 -0.00079828
 -0.00079267]",Hindi
[0.         0.         0.         ... 0.29493374 0.29814607 0.2962045 ],Hindi
"[ 0.          0.          0.         ... -0.00341355 -0.00372338
 -0.00394216]",Hindi
"[ 0.          0.          0.         ... -0.00482282  0.00037967
  0.0079613 ]",Kannada
[0.         0.         0.         ... 0.0143967  0.03412224 0.0542469 ],Kannada
"[ 0.          0.          0.         ... -0.10591268 -0.0863019
 -0.06079753]",Kannada
"[ 0.          0.          0.         ... -0.01760274 -0.03435971
 -0.04671063]",Kannada
[0.         0.         0.         ... 0.21826327 0.21907876 0.22090866],Kannada
[0.         0.         0.         ... 0.15879747 0.1834981  0.22449419],Kannada
"[ 0.          0.          0.         ... -0.24287733 -0.20235856
 -0.11328634]",Kannada
"[-1.1805131e-07  4.5258107e-06  4.1417940e-07 ...  2.5334822e-02
  2.2233680e-02  1.2258340e-02]",Kannada
"[ 0.          0.          0.         ... -0.02170926 -0.06523447
 -0.09317098]",Kannada
"[ 0.00156606  0.00034622 -0.00079317 ...  0.0073494  -0.00218004
 -0.00568287]",Kannada
"[ 0.          0.          0.         ... -0.18885954 -0.23111579
 -0.2661397 ]",Kannada
[0.         0.         0.         ... 0.14374846 0.15610136 0.1829191 ],Kannada
"[ 0.00907981  0.00823977 -0.00377575 ... -0.01576955 -0.01263774
  0.00493416]",Kannada
"[ 1.2199770e-04  9.6514123e-05  3.9146518e-05 ... -1.5275520e-02
 -4.4775805e-03  1.9750672e-03]",Kannada
"[ 0.          0.          0.         ... -0.04988984 -0.0483316
 -0.04896179]",Kannada
[0.         0.         0.         ... 0.00936343 0.00651187 0.00242906],Kannada
[0.         0.         0.         ... 0.09695857 0.10394765 0.10849126],Kannada
"[-3.7848955e-04 -2.2686362e-04  9.4190196e-05 ... -3.9155234e-02
 -9.5347157e-03 -1.7771325e-03]",Kannada
[0.         0.         0.         ... 0.00681092 0.01110511 0.01444156],Kannada
"[ 0.          0.          0.         ... -0.00877182 -0.01051259
 -0.01155471]",Kannada
"[-3.3202479e-05 -3.6703452e-05 -9.8796314e-05 ... -1.2398660e-04
 -1.2263475e-04 -7.7305100e-05]",Kannada
[0.         0.         0.         ... 0.01751139 0.01449337 0.00541513],Kannada
"[ 0.00043556 -0.00120532 -0.00177903 ... -0.04992145 -0.03674572
 -0.01430116]",Kannada
"[ 0.0021878   0.00172406  0.00104907 ... -0.08017395 -0.06465435
 -0.03513916]",Kannada
[0.         0.         0.         ... 0.35784063 0.3578339  0.34877014],Kannada
"[ 0.          0.          0.         ...  0.00637303 -0.00326094
 -0.01469807]",Kannada
[0.         0.         0.         ... 0.06968961 0.06919913 0.06823844],Kannada
"[ 0.          0.          0.         ... -0.11110934 -0.1375938
 -0.15624769]",Kannada
"[ 1.7372460e-07  2.3657999e-06 -7.1090648e-07 ...  2.3548609e-01
  2.7642128e-01  2.3237124e-01]",Kannada
"[-0.000569   -0.00069792 -0.00058472 ... -0.05965869 -0.07168559
 -0.04701628]",Kannada
"[ 0.          0.          0.         ... -0.02735521 -0.04680288
 -0.07388591]",Kannada
[0.         0.         0.         ... 0.00520687 0.00624965 0.00575974],Kannada
"[ 0.          0.          0.         ... -0.00764438 -0.00683716
 -0.00606587]",Kannada
"[ 0.          0.          0.         ... -0.0019838   0.01473202
  0.02935388]",Kannada
[0.         0.         0.         ... 0.02322302 0.02650383 0.02805054],Kannada
"[ 0.          0.          0.         ... -0.00910707 -0.00119016
  0.00623268]",Kannada
"[ 0.          0.          0.         ... -0.06903532 -0.07849442
 -0.08491813]",Kannada
"[ 0.          0.          0.         ... -0.00011039  0.00089311
  0.00282961]",Kannada
[0.         0.         0.         ... 0.01061852 0.01118088 0.01089332],Kannada
"[ 2.0951650e-04  1.8693414e-04  4.7228156e-07 ...  1.7150890e-02
 -1.0429774e-02 -1.8430138e-02]",Kannada
"[ 0.          0.          0.         ... -0.00939246 -0.00728763
 -0.00502958]",Kannada
"[-0.0041254  -0.0007648   0.00077526 ...  0.1084188   0.11802053
  0.07469388]",Kannada
"[ 1.1577633e-04  2.7435901e-05 -7.9665355e-05 ... -2.0899717e-02
 -5.0392415e-02 -4.7882639e-02]",Kannada
"[-0.00927193 -0.01472836 -0.01781845 ...  0.01280172  0.00359441
  0.00058895]",Kannada
"[ 0.          0.          0.         ... -0.02563629 -0.03056076
 -0.03545378]",Kannada
[0.         0.         0.         ... 0.10503679 0.10756197 0.09703184],Kannada
[0.         0.         0.         ... 0.0322651  0.03611521 0.03720686],Kannada
"[ 0.          0.          0.         ... -0.05872219 -0.05928953
 -0.05923578]",Kannada
"[ 0.          0.          0.         ... -0.07033508 -0.06594065
 -0.05937931]",Kannada
"[-0.00051314 -0.00057746 -0.00066576 ...  0.0151146   0.01773875
  0.01365644]",Kannada
"[ 4.3116676e-04 -5.9613896e-05 -8.0534379e-04 ... -1.1529464e-02
  2.6769185e-01  3.3475578e-01]",Kannada
[0.         0.         0.         ... 0.12590224 0.10911839 0.089851  ],Kannada
"[ 2.1611480e-04 -6.2686573e-05 -2.2923769e-04 ...  1.1773456e-02
  4.5120809e-02  1.8061968e-02]",Kannada
"[ 0.          0.          0.         ... -0.00235685 -0.00224273
 -0.00200912]",Kannada
[0.         0.         0.         ... 0.01411587 0.01176137 0.00968741],Kannada
"[ 0.          0.          0.         ... -0.02955084 -0.02870282
 -0.02761089]",Kannada
"[-0.00070359 -0.00054538  0.00080594 ... -0.0045465   0.01441641
  0.00935067]",Kannada
"[-7.5528784e-05 -8.5153360e-06  1.3717874e-04 ... -4.2945888e-02
  3.7306961e-02  6.2279515e-02]",Kannada
"[ 0.0008499   0.00076401  0.00064936 ... -0.06253374 -0.06108556
 -0.04244585]",Kannada
"[1.4180497e-04 1.3148149e-04 6.5394597e-05 ... 1.1273194e-01 1.0256758e-01
 7.6643579e-02]",Kannada
"[ 0.          0.          0.         ... -0.0038442  -0.04652935
 -0.08707453]",Kannada
"[ 0.          0.          0.         ... -0.04841169 -0.03557753
 -0.03238148]",Kannada
[0.         0.         0.         ... 0.00609595 0.06315963 0.1321897 ],Kannada
"[ 0.          0.          0.         ... -0.22216669 -0.15539958
 -0.0955475 ]",Kannada
"[ 0.          0.          0.         ... -0.04354054 -0.14747335
 -0.21364258]",Kannada
"[ 0.          0.          0.         ... -0.00664487  0.00235944
  0.01452785]",Kannada
[0.         0.         0.         ... 0.01180703 0.00953034 0.0066375 ],Kannada
"[ 0.          0.          0.         ... -0.0154263  -0.01955028
 -0.02363927]",Kannada
"[ 0.          0.          0.         ... -0.00089044 -0.00068194
 -0.00050998]",Kannada
"[ 0.          0.          0.         ... -0.00379207 -0.00486833
 -0.0057381 ]",Kannada
"[ 0.          0.          0.         ... -0.00950184 -0.01598196
 -0.02166077]",Kannada
[0.         0.         0.         ... 0.01572129 0.01960346 0.03326439],Kannada
[0.         0.         0.         ... 0.0701684  0.06412237 0.0568784 ],Kannada
"[ 0.          0.          0.         ... -0.01579892 -0.01157938
 -0.00722558]",Kannada
"[ 0.          0.          0.         ... -0.05867225 -0.05051003
 -0.02884344]",Kannada
"[ 0.          0.          0.         ... -0.05197436 -0.05305393
 -0.05270624]",Kannada
"[ 0.00965674  0.00898752  0.0073974  ... -0.10077697 -0.14327018
 -0.12349752]",Kannada
"[-0.00046723 -0.00044461 -0.00026769 ...  0.02656271 -0.01004752
 -0.02862943]",Kannada
"[-0.01406683 -0.01526131 -0.01189415 ...  0.04179403  0.06589529
  0.05275901]",Kannada
[0.         0.         0.         ... 0.02197809 0.06025374 0.09355132],Kannada
[0.         0.         0.         ... 0.11157891 0.1051476  0.09510276],Kannada
[0.         0.         0.         ... 0.06832843 0.0659099  0.06116283],Kannada
"[-7.6945536e-05 -1.1022492e-04 -9.8358003e-05 ... -2.5118291e-01
 -3.6110133e-01 -3.0646822e-01]",Kannada
[0.         0.         0.         ... 0.34279162 0.29727814 0.25544843],Kannada
"[ 0.          0.          0.         ...  0.04949082 -0.04251955
 -0.12530896]",Kannada
[0.         0.         0.         ... 0.04042432 0.03061166 0.02011606],Kannada
"[ 8.09288904e-05  5.18799992e-04  9.40905185e-04 ... -2.78832223e-02
 -4.38398169e-03  1.15658585e-02]",Kannada
[0.         0.         0.         ... 0.00534683 0.00611948 0.00691578],Kannada
"[ 0.          0.          0.         ... -0.04782528  0.0424623
  0.11020556]",Kannada
[0.         0.         0.         ... 0.03621583 0.03244272 0.02393098],Kannada
[0.         0.         0.         ... 0.01259854 0.01163467 0.01075765],Kannada
[0.         0.         0.         ... 0.01363447 0.03831909 0.0618689 ],Kannada
[0.         0.         0.         ... 0.01818299 0.0170786  0.01737071],Kannada
[0.00528062 0.00518095 0.00543372 ... 0.01104606 0.01533283 0.00687424],Kannada
"[ 0.          0.          0.         ... -0.08516954 -0.07942153
 -0.07292305]",Kannada
"[ 0.          0.          0.         ... -0.03478877 -0.04803263
 -0.04491118]",Kannada
"[ 0.          0.          0.         ... -0.00680574 -0.0060994
 -0.00530683]",Kannada
[0.         0.         0.         ... 0.21219288 0.19241755 0.16732007],Kannada
"[-4.0517953e-06 -3.8384314e-05 -5.9321250e-05 ...  1.4825937e-02
  1.4690474e-02  1.2784086e-02]",Kannada
"[-0.00089409 -0.00264033 -0.00412907 ... -0.14402762 -0.06306826
  0.00846475]",Kannada
"[ 0.          0.          0.         ... -0.14017576 -0.12108573
 -0.0885876 ]",Kannada
[0.         0.         0.         ... 0.02410849 0.02472265 0.02426175],Kannada
[0.         0.         0.         ... 0.09412166 0.10499451 0.11187977],Kannada
"[ 5.1184412e-05 -5.9794806e-05 -1.6075899e-04 ... -3.4657007e-01
 -2.8400868e-01 -1.7074659e-01]",Kannada
[0.         0.         0.         ... 0.15966846 0.08714193 0.0122497 ],Kannada
"[ 0.          0.          0.         ... -0.02019432 -0.02301819
 -0.02428031]",Kannada
[0.         0.         0.         ... 0.00892844 0.0181161  0.02801409],Kannada
"[ 0.          0.          0.         ... -0.00157157 -0.0061071
 -0.01017168]",Kannada
"[ 0.          0.          0.         ... -0.00331464  0.00146411
 -0.00410438]",Kannada
"[ 0.          0.          0.         ... -0.01885501 -0.00637487
 -0.00011969]",Kannada
"[-0.00109849 -0.00053033  0.00096071 ...  0.18862541  0.10605043
  0.07192069]",Kannada
"[ 0.00071853  0.00137976  0.0027226  ...  0.00958704 -0.01096318
 -0.01191393]",Kannada
[0.         0.         0.         ... 0.01788766 0.02206587 0.02511053],Kannada
"[ 0.          0.          0.         ...  0.07716841 -0.00234906
 -0.07857084]",Kannada
"[ 0.          0.          0.         ... -0.00690791 -0.01444641
 -0.02094551]",Kannada
"[ 1.96970177e-06 -1.36643175e-05 -7.97394841e-06 ... -2.55737118e-02
  2.19894070e-02  1.34855965e-02]",Kannada
[0.         0.         0.         ... 0.05484172 0.05837557 0.06213258],Kannada
[0.         0.         0.         ... 0.01020373 0.00998101 0.00811458],Kannada
[0.         0.         0.         ... 0.04537009 0.0345856  0.02494138],Kannada
"[-1.6998730e-04 -7.2130896e-03 -1.2188766e-02 ...  2.7758095e-01
  2.2190103e-01  1.1568108e-01]",Kannada
"[ 0.          0.          0.         ... -0.01207291 -0.01392953
 -0.01519879]",Kannada
"[ 0.          0.          0.         ... -0.16419518 -0.16474114
 -0.16272509]",Kannada
"[ 0.          0.          0.         ... -0.03965131 -0.02919379
 -0.01250361]",Kannada
"[ 0.          0.          0.         ... -0.02064669 -0.02115791
 -0.02127315]",Kannada
"[1.4494313e-04 1.1107246e-03 2.2449878e-03 ... 1.1596475e-01 2.7664798e-01
 2.7117097e-01]",Kannada
[0.02057197 0.02375824 0.02474589 ... 0.12865937 0.12361415 0.07616106],Kannada
"[ 0.          0.          0.         ... -0.00764605 -0.00781916
 -0.00802214]",Kannada
[0.         0.         0.         ... 0.22382408 0.2522369  0.2756939 ],Kannada
"[ 0.          0.          0.         ... -0.09982545 -0.06079648
 -0.02057475]",Kannada
"[ 0.00278956  0.00263373  0.00232012 ... -0.12700625 -0.1314509
 -0.09527359]",Kannada
"[ 0.          0.          0.         ... -0.12218639 -0.10319403
 -0.08324947]",Kannada
"[ 0.          0.          0.         ... -0.00354379 -0.00260742
 -0.00151703]",Kannada
[0.         0.         0.         ... 0.01217126 0.01741886 0.02189159],Kannada
[0.         0.         0.         ... 0.01478083 0.01350905 0.01192883],Kannada
"[ 2.0813743e-04  1.3742510e-04 -7.8041921e-05 ...  2.2924194e-02
  1.6634053e-02  6.7599295e-03]",Kannada
"[ 0.          0.          0.         ... -0.01108971 -0.01338013
 -0.01527694]",Kannada
[0.         0.         0.         ... 0.04374963 0.03810677 0.03251966],Kannada
"[ 0.          0.          0.         ... -0.11076745 -0.11081868
 -0.10914383]",Kannada
[0.         0.         0.         ... 0.17926635 0.18943638 0.20087114],Kannada
"[-4.2494394e-05 -6.7366873e-06 -3.6821666e-06 ...  2.6488253e-01
  3.1818411e-01  2.6041248e-01]",Kannada
[0.         0.         0.         ... 0.06865031 0.06893375 0.06661568],Kannada
[0.         0.         0.         ... 0.01210949 0.01255892 0.01690767],Kannada
"[-5.9915874e-05 -1.9011612e-05 -8.7992757e-06 ... -6.9050699e-02
 -2.1563397e-01 -2.2986898e-01]",Kannada
[0.         0.         0.         ... 0.1573976  0.14589217 0.13423441],Kannada
"[ 0.          0.          0.         ... -0.01331444 -0.01328401
 -0.01326592]",Kannada
[0.         0.         0.         ... 0.03900413 0.04397888 0.04689121],Kannada
[0.         0.         0.         ... 0.01930447 0.01787729 0.01474119],Kannada
"[ 0.          0.          0.         ... -0.0296693  -0.02599295
 -0.02114133]",Kannada
"[-0.00084226 -0.00217468 -0.00362101 ... -0.11736514  0.00940015
  0.06223888]",Kannada
[0.         0.         0.         ... 0.10308388 0.10743819 0.10725725],Kannada
[0.         0.         0.         ... 0.09626482 0.09734872 0.09584831],Malayalam
"[ 0.          0.          0.         ... -0.35492623 -0.338929
 -0.32497987]",Malayalam
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.6607305e-04
  2.2480551e-04 -2.4726007e-06]",Malayalam
[0.         0.         0.         ... 0.07353464 0.07348426 0.07267106],Malayalam
"[ 7.7737845e-05 -1.5322058e-06 -1.5579519e-04 ...  2.1100941e-03
 -2.9192731e-04  1.0425738e-05]",Malayalam
"[ 0.          0.          0.         ... -0.04641756 -0.04991569
 -0.05303334]",Malayalam
[0.         0.         0.         ... 0.00565633 0.00591152 0.00619951],Malayalam
[0.         0.         0.         ... 0.04558272 0.04892848 0.05181407],Malayalam
"[ 0.          0.          0.         ... -0.00372888 -0.00430481
 -0.00485088]",Malayalam
"[ 0.          0.          0.         ... -0.05436413 -0.07655575
 -0.09764537]",Malayalam
"[ 0.          0.          0.         ... -0.00078606 -0.00106221
 -0.00121477]",Malayalam
"[-0.00322948 -0.00202357  0.00129068 ... -0.05939209 -0.06252416
 -0.04931639]",Malayalam
[0.         0.         0.         ... 0.00594752 0.00506328 0.00306309],Malayalam
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.1037183e-04
  5.1377541e-05  1.4708542e-04]",Malayalam
"[ 0.          0.          0.         ... -0.09372783 -0.10647827
 -0.11542822]",Malayalam
"[ 0.          0.          0.         ... -0.00081134 -0.01241076
 -0.02398635]",Malayalam
[0.         0.         0.         ... 0.15384144 0.16314627 0.17040244],Malayalam
[0.00410201 0.0042836  0.00290079 ... 0.24808395 0.33571094 0.29132   ],Malayalam
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  7.0914582e-05
  1.4040599e-05 -3.2425472e-05]",Malayalam
[0.         0.         0.         ... 0.10382828 0.09622807 0.08746654],Malayalam
"[ 0.          0.          0.         ... -0.07465889 -0.0769356
 -0.08107418]",Malayalam
"[ 0.          0.          0.         ... -0.00303221 -0.00309735
 -0.00341736]",Malayalam
"[ 0.          0.          0.         ... -0.15383355 -0.15081322
 -0.14681774]",Malayalam
[0.         0.         0.         ... 0.01043143 0.00723467 0.00495709],Malayalam
[0.         0.         0.         ... 0.00294806 0.00266502 0.00267039],Malayalam
"[-0.00107883 -0.00075157 -0.00074182 ...  0.05521644  0.05155703
  0.03471634]",Malayalam
"[-2.6140927e-04 -1.5052309e-04  4.0645500e-06 ... -4.5666233e-02
 -5.7092529e-02 -5.4356989e-02]",Malayalam
[0.         0.         0.         ... 0.07574676 0.05619688 0.03741178],Malayalam
[0.         0.         0.         ... 0.00951279 0.00866766 0.00760409],Malayalam
[0.         0.         0.         ... 0.33500996 0.31941834 0.31408763],Malayalam
"[ 0.          0.          0.         ... -0.00915124 -0.00932906
 -0.00955062]",Malayalam
"[-7.2000330e-05 -1.8517309e-04 -1.0720415e-04 ...  2.2581981e-03
  1.9960320e-03  1.3607367e-03]",Malayalam
"[ 0.          0.          0.         ... -0.02200621 -0.02540015
 -0.02861107]",Malayalam
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.6449685e-05
  7.5338197e-05 -3.7858135e-05]",Malayalam
"[ 0.000000e+00  0.000000e+00  0.000000e+00 ...  4.382085e-05 -2.363681e-05
  4.582922e-05]",Malayalam
"[ 0.00398231  0.00347092  0.00226382 ... -0.10471244 -0.10811388
 -0.07592515]",Malayalam
[0.         0.         0.         ... 0.03390871 0.03387041 0.03408018],Malayalam
"[ 0.          0.          0.         ... -0.2039749  -0.17275059
 -0.14769602]",Malayalam
"[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.8236787e-05 6.2808715e-05
 5.5395485e-05]",Malayalam
[0.         0.         0.         ... 0.02971412 0.05038655 0.04621957],Malayalam
"[ 0.          0.          0.         ... -0.01495317 -0.00699661
  0.00148323]",Malayalam
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -8.4441781e-05
 -2.1658315e-04 -2.6984126e-04]",Malayalam
"[ 0.          0.          0.         ... -0.06878586 -0.07134355
 -0.07496337]",Malayalam
[0.         0.         0.         ... 0.19768365 0.20734689 0.2176485 ],Malayalam
"[-4.8871163e-05 -4.5934776e-05  2.6992338e-05 ... -5.6886808e-03
 -6.1791972e-03 -4.7714734e-03]",Malayalam
"[ 0.          0.          0.         ... -0.01244711 -0.01247833
 -0.01404937]",Malayalam
"[-2.3757252e-04 -3.1267971e-04 -3.9608142e-04 ... -1.4682914e-02
 -2.5722668e-01 -3.5046595e-01]",Malayalam
"[-1.21660945e-04 -4.60712181e-05  5.90440732e-06 ...  2.35213444e-01
  2.49724120e-01  1.83818519e-01]",Malayalam
[0.         0.         0.         ... 0.17333983 0.16882029 0.16448528],Malayalam
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -8.3594925e-05
 -9.6503078e-05 -8.3116960e-05]",Malayalam
